task_num,micro_tag,text,correct_answer,explanation
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nМой сосед оказался человеком СКРЫТЫМ и неразговорчивым.\nУчёные долго исследовали этот КАМЕННЫЙ остров.\nК вечеру поднялся СИЛЬНЫЙ ветер.\nИГОРНЫЙ бизнес строго регулируется законом.\nНам пришлось ВОСПОЛНИТЬ пробелы в знаниях.",скрытным,"Скрытый — невидимый, тайный (скрытый смысл). Скрытный — избегающий откровенности, неразговорчивый (скрытный человек). Ответ: скрытным"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nКаждому участнику соревнований должны ПРЕДСТАВИТЬ равные условия.\nВЕКОВОЙ дуб возвышался над остальными деревьями.\nНа выставке были представлены ИСКУСНЫЕ изделия мастеров.\nГРАНД-отель славился своим сервисом.\nБЕДСТВЕННОЕ положение жителей требовало немедленного вмешательства.",предоставить,"Представить — показать, познакомить (представить гостя). Предоставить — дать возможность пользоваться (предоставить условия). Ответ: предоставить"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nСтудент оказался БЕЗОТВЕТНЫМ, поэтому часто пропускал занятия и не сдавал работы в срок.\nЭто был ЕДИНСТВЕННЫЙ выход из ситуации.\nЖЕСТОКИЙ поступок вызвал всеобщее возмущение.\nКОСТНЫЙ мозг выполняет важнейшие функции в организме.\nГУМАНИСТИЧЕСКИЕ идеалы лежат в основе этой философии.",безответственным,"Безответный — не получающий ответа (безответная любовь). Безответственный — не несущий ответственности за поступки. Ответ: безответственным"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nОн вёл себя грубо, перебивал старших, словом, был настоящим НЕВЕЖДОЙ.\nНам предстоял ДЛИТЕЛЬНЫЙ перелёт.\nЭтот ЛЕДОВЫЙ дворец вмещает тысячи зрителей.\nАДРЕСАТ получил письмо вовремя.\nДевушка надела КРАСОЧНЫЙ наряд.",невежей,"Невежда — малообразованный человек. Невежа — грубый, невоспитанный человек. Ответ: невежей"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nУслышав печальную новость, он издал тяжёлый ВДОХ.\nДВОЙНОЙ тариф действует в праздничные дни.\nПОКУПАТЕЛЬНАЯ способность населения выросла.\nЖЮРИ вынесло объективное решение.\nВ городе открылся новый КОННЫЙ клуб.",вздох,"Вдох — втягивание воздуха в легкие. Вздох — усиленный вдох и выдох, выражающий чувство (вздох облегчения, печали). Ответ: вздох"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nМы надели БОЛОТИСТЫЕ сапоги и отправились за клюквой.\nВРАЖДЕБНОЕ отношение местного населения пугало путешественников.\nУ мальчика была отличная ЗРИТЕЛЬНАЯ память.\nВ кабинете стоял КОЖАНЫЙ диван.\nЭто было ПАМЯТНОЕ событие для всех нас.",болотные,"Болотистый — изобилующий болотами (болотистая местность). Болотный — предназначенный для болота (болотные сапоги). Ответ: болотные"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nМедицина имеет огромное ПРАКТИЧНОЕ значение для человечества.\nВРАЖЕСКИЙ лагерь находился за рекой.\nСОВЕТНИК президента выступил с заявлением.\nЭто был очень УДАЧНЫЙ день.\nОна сделала ГЛУБОКИЙ вдох.",практическое,"Практичный — выгодный, удобный (практичная одежда). Практический — относящийся к практике, реальному применению (практическое значение). Ответ: практическое"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nЖурналист подготовил очень ИНФОРМАЦИОННЫЙ материал, полный интересных фактов и аналитики.\nМы долго шли через ЛЕСИСТУЮ местность.\nПРЕДСТАВИТЕЛЬНЫЙ мужчина вошёл в зал.\nВ городе построили новый ЛЕДОВЫЙ дворец.\nОН отличался ГОРДЫМ нравом.",информативный,"Информационный — относящийся к информации (информационный портал). Информативный — содержащий много информации, насыщенный. Ответ: информативный"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nКОРЕНАСТЫЕ изменения в экономике страны привели к росту производства.\nРЯДОМ стоял КОРЕНАСТЫЙ мужчина лет сорока.\nМой ДРУЖЕСКИЙ совет помог ему избежать ошибки.\nГЛИНЯНАЯ ваза разбилась вдребезги.\nЕё голос звучал ОБИДЧИВО.",коренные,"Коренастый — крепкого сложения (коренастый человек). Коренной — касающийся самых основ, глубокий (коренные изменения). Ответ: коренные"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nВ темноте было трудно ОТЛИЧИТЬ очертания домов.\nЗа время работы он приобрёл богатый ЖИЗНЕННЫЙ опыт.\nЕго ПРЕДВЫБОРНАЯ кампания прошла успешно.\nНаш попутчик оказался ИНТЕЛЛИГЕНТНЫМ человеком.\nОна проявила ИЗОБРЕТАТЕЛЬНОСТЬ при подготовке к празднику.",различить,"Отличить — распознать одно среди другого. Различить — распознать зрением или слухом (различить очертания). Ответ: различить"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nВ кассе магазина не оказалось НАЛИЧИЯ, чтобы выдать сдачу.\nНа выставке были представлены ИСКУСНЫЕ работы местных мастеров.\nДВОЙСТВЕННОЕ впечатление осталось после просмотра фильма.\nОни ПРОЖИЛИ в этом городе много лет.\nДОВЕРИТЕЛЬНЫЙ тон беседы помог нам расслабиться.",наличности,"Наличие — присутствие (наличие товара). Наличность — наличные деньги. Ответ: наличности"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nЗРИТЕЛЬНЫЕ симпатии были на стороне молодой актрисы.\nЕго ПАМЯТЛИВОСТЬ поражала всех окружающих.\nВ саду росли старые ЯБЛОНЕВЫЕ деревья.\nЗВУЧНЫЙ голос певца разносился по всему залу.\nДля решения задачи потребовался НЕСТАНДАРТНЫЙ подход.",зрительские,"Зрительный — относящийся к зрению (зрительный нерв). Зрительский — относящийся к зрителю (зрительские симпатии). Ответ: зрительские"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nПосле тяжёлого рабочего дня нас ждал СЫТЫЙ ужин.\nХИЩНЫЕ животные выходят на охоту ночью.\nЭта профессия считается весьма ПОЧЁТНОЙ.\nМы прошли через КАМЕНИСТЫЙ каньон.\nБЕЗОТВЕТНАЯ любовь стала темой его стихов.",сытный,"Сытый — утоливший голод (сытый человек). Сытный — питательный, калорийный (сытный ужин). Ответ: сытный"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nОн вёл ПРАЗДНИЧНЫЙ образ жизни, нигде не работал и целыми днями гулял.\nНАДЕТЬ пальто оказалось сложнее из-за сломанной молнии.\nВ магазине продавалась КАМЕННАЯ соль.\nНам был предоставлен ГАРАНТИЙНЫЙ талон.\nЕё ДИПЛОМАТИЧНЫЙ ответ помог избежать конфликта.",праздный,"Праздничный — относящийся к празднику. Праздный — ничем не занятый, бездельный (праздный образ жизни). Ответ: праздный"
5,паронимы,"В одном из приведённых ниже предложений НЕВЕРНО употреблено выделенное слово. Исправьте лексическую ошибку, подобрав к выделенному слову пароним. Запишите подобранное слово.\nСЛОВАРНЫЙ портрет подозреваемого был составлен со слов очевидцев.\nСОВЕТНИК министра выступил с докладом.\nЦВЕТНАЯ капуста очень полезна для здоровья.\nЗЛЫЕ языки страшнее пистолета.\nВОДНЫЕ ресурсы планеты нуждаются в защите.",словесный,"Словарный — относящийся к словарю (словарный запас). Словесный — выраженный в словах (словесный портрет). Ответ: словесный"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nВ заключение доклада выступающий отметил главную суть обсуждаемой проблемы.",главную,"Суть — это и есть самое главное, существенное в чём-либо. Слово «главную» является лишним (плеоназм). Ответ: главную"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nНа международных соревнованиях наш спортсмен одержал поражение в финале.",потерпел,"Одержать можно победу, а поражение — терпеть (потерпеть поражение). Ответ: потерпел"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nНа работу в новую IT-компанию требовалась свободная вакансия ведущего программиста.",свободная,"Вакансия — это уже свободная, незамещенная должность. Слово «свободная» лишнее. Ответ: свободная"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nЛьвиную часть своего свободного времени ученый проводил в городской библиотеке.",долю,"Устойчивое выражение (фразеологизм) звучит как «львиная доля». Ответ: долю"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nВ фойе драматического театра висел прейскурант цен на сувенирную продукцию.",цен,"Прейскурант — это справочник цен на товары или услуги. Слово «цен» избыточно. Ответ: цен"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nПисатель в своем новом историческом романе смог приоткрыть занавес над тайнами прошлого.",завесу,"Устойчивое выражение — «приоткрыть завесу (над чем-либо)». Ответ: завесу"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nВ конце увлекательной экскурсии туристам предложили купить памятный сувенир.",памятный,"Сувенир — это подарок на память. Слово «памятный» образует лексическую избыточность. Ответ: памятный"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nНам нужно сделать важное решение до завтрашнего утра, иначе проект будет закрыт.",принять,"Решение принимают, а не делают. Правильно: принять решение. Ответ: принять"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nМолодой талантливый актёр впервые дебютировал на сцене этого знаменитого театра.",впервые,"Дебют — это и есть первое выступление. Слово «впервые» является лишним. Ответ: впервые"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nОсобое значение в этой научной статье уделяется вопросам сохранения экологии океана.",внимание,"Уделять можно внимание, а значение — придавать. Правильно: уделяется внимание. Ответ: внимание"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nЕё мимика лица была настолько выразительной, что слова совершенно не требовались.",лица,"Мимика — это движения мышц лица. Уточнение «лица» является плеоназмом. Ответ: лица"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nЭтот географический фактор играет огромное значение в развитии экономики всего региона.",роль,"Играть можно роль, а значение — иметь. Правильно: играет огромную роль. Ответ: роль"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nВнутренний интерьер старинного дворца поражал туристов своим великолепием и богатством.",внутренний,"Интерьер — это внутреннее пространство здания. Слово «внутренний» лишнее. Ответ: внутренний"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nЧтение классической русской литературы помогает значительно повысить кругозор школьников.",расширить,"Кругозор можно расширить, а повысить — уровень. Правильно: расширить кругозор. Ответ: расширить"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nПолководец, адекватно оценив силы противника, приказал своим войскам отступать назад к реке.",назад,"Отступать можно только назад, поэтому слово «назад» лексически избыточно. Ответ: назад"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nВ этом небольшом фермерском магазине всегда были очень дешевые цены на овощи и фрукты.",низкие,"Цены бывают высокими или низкими, а дешевыми — товары. Правильно: низкие цены. Ответ: низкие"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nПосле небольшого привала уставшие альпинисты начали подниматься вверх по крутому склону горы.",вверх,"Подниматься можно только вверх. Это классический плеоназм, слово «вверх» лишнее. Ответ: вверх"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nНеправильное питание и малоподвижный образ жизни могут оказать непоправимый вред здоровью.",нанести,"Вред можно нанести или причинить, но не оказать (оказывают помощь/услугу). Правильно: нанести вред. Ответ: нанести"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, исключив лишнее слово. Выпишите это слово.\nУчёный-этнограф долгие годы с увлечением изучал народный фольклор северных регионов нашей страны.",народный,"Фольклор в переводе с английского — это народное творчество. «Народный фольклор» — плеоназм. Ответ: народный"
6,лексика_нормы,"Отредактируйте предложение: исправьте лексическую ошибку, заменив неверно употреблённое слово. Запишите подобранное слово.\nНам необходимо предпринять срочные меры, чтобы избежать масштабного финансового кризиса.",принять,"Меры принимают, а предпринимают — шаги или попытки. Правильно: принять меры. Ответ: принять"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nпара БОТИНОК\nболее ПЯТИСТА человек\nопытные ИНЖЕНЕРЫ\nПОЕЗЖАЙТЕ прямо\nмного ВИШЕН",пятисот,"Ошибка в склонении числительного. В родительном падеже (более кого? чего?) правильно: пятисот. Ответ: пятисот"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nкилограмм ПОМИДОРОВ\nЛЯГТЕ на пол\nзвучит более ГРОМКО\nс ДВУМЯСТАМИ рублями\nнесколько ПОЛОТЕНЦЕВ",полотенец,"Существительное «полотенце» в родительном падеже множественного числа имеет форму «полотенец». Ответ: полотенец"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nИХ проблемы\nСТРИЖЁТ волосы\nменее СТРОЖЕ\nпять КИЛОГРАММОВ\nПРИОБРЕТШИЙ опыт",строго,"При образовании составной сравнительной степени нельзя смешивать простую и составную формы. Правильно: менее строго. Ответ: строго"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nопытные БУХГАЛТЕРЫ\nв ТЫСЯЧА девятисотом году\nПОЕЗЖАЙ в город\nнет ТУФЛЕЙ\nоколо ПОЛУТОРАСТА метров",туфель,"Существительное «туфля» (женский род) в родительном падеже множественного числа имеет нулевое окончание — «туфель». Ответ: туфель"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nИХНИЕ тетради\nкилограмм МАНДАРИНОВ\nДВОЕ друзей\nкоротко ОСТРИЖЁТ\nпара ЧУЛОК",их,"Притяжательное местоимение 3-го лица множественного числа имеет литературную форму «их». Формы «ихние» не существует. Ответ: их"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nвкусные ТОРТЫ\nнет МАКАРОН\nЛОВЧЕЕ\nс ПЯТЬЮДЕСЯТЬЮ рублями\nОБЕИМ друзьям",обоим,"Слово «друзьям» (от «друг») мужского рода, поэтому собирательное числительное должно быть «обоим». Форма «обеим» используется только для женского рода. Ответ: обоим"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nнесколько ЦАПЕЛЬ\nНАИБОЛЕЕ уместно\nс ТРЕХСТАМИ рублями\nЕЗЖАЙ быстрее\nоколо ПЯТИДЕСЯТИ метров",поезжай,"Повелительное наклонение от глагола «ехать» образуется только с приставкой: поезжай. Формы «езжай», «ехай» ошибочны. Ответ: поезжай"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nопытные ТРЕНЕРЫ\nмного ВРЕМЕНИ\nс ПОЛТОРАСТАМИ рублями\nКЛАДИ на стол\nПЯТЬЮСТАМИ монетами",полутораста,"Числительное «полтораста» в творительном падеже (с кем? чем?) имеет форму «полутораста» (у него всего две формы: полтораста и полутораста). Ответ: полутораста"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nоколо ПЯТИСОТ метров\nвкусные СОУСЫ\nстаринных БАШНЕЙ\nКЛАДИТЕ сюда\nЖЖЁТ костер",башен,"Существительное «башня» в родительном падеже множественного числа имеет форму «башен». Ответ: башен"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nТРОЕ санитарок\nс ДВУМЯСТАМИ бойцами\nпара САПОГ\nЖДЁТ ответа\nкрасивейший ПЕЙЗАЖ",три,"Собирательные числительные (двое, трое, четверо) не употребляются с существительными женского рода. Правильно: три санитарки. Ответ: три"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nкилограмм ВАФЕЛЬ\nСТРИГЁТ волосы\nопытные ПРОФЕССОРА\nмного ВИШЕН\nоколо ЧЕТЫРЁХСОТ",стрижёт,"Глагол «стричь» в 3-м лице единственного числа имеет форму «стрижёт» (происходит чередование согласных ч/ж). Ответ: стрижёт"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nновые ВЫБОРЫ\nНАИВЫСШИЙ балл\nс ВОСЬМЬЮДЕСЯТЬЮ рублями\nЛЯЖЬТЕ на диван\nкилограмм ЯБЛОК",лягте,"Повелительное наклонение от глагола «лечь» образуется от основы будущего времени: ляг, лягте. Формы «ляжьте» не существует. Ответ: лягте"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nПРИОБРЕСТИ опыт\nс СЕМЬЮСТАМИ метрами\nпара КРОССОВОК\nопытные ДОКТОРА\nИСПЕКЁТ пирог",испечёт,"Глагол «испечь» в 3-м лице единственного числа имеет форму «испечёт» (чередование к/ч). Ответ: испечёт"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nнесколько КОЧЕРЁГ\nОБОИМИ руками\nПОПРОБОВАЕМ сделать\nНАПИШЕТ письмо\nДВУМЯСТАМИ рублями",попробуем,"В глаголе «попробовать» суффикс -ова- в настоящем/будущем времени чередуется с -у-. Правильно: попробуем. Ответ: попробуем"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nпять ГРАММОВ\nДИРЕКТОРЫ школ\nПОЛОЖИ на место\nнет ПОЛОТЕНЕЦ\nТРОЕ щенят",директора,"В именительном падеже множественного числа существительное «директор» имеет нормативное окончание -а: директора. Ответ: директора"
7,формы_слов,"В одном из выделенных ниже слов допущена ошибка в образовании формы слова. Исправьте ошибку и запишите слово правильно.\nнесколько БРЕЛОКОВ\nПРОПОЛОЩИ бельё\nс ТРЕМЯСТАМИ рублями\nмного СОЛДАТОВ\nЛЯГ спать",солдат,"Существительное «солдат» в родительном падеже множественного числа имеет нулевое окончание: много солдат. Ответ: солдат"
